iteration,target_revision,start_wall_epoch,start_wall_utc,start_wall_local,end_wall_epoch,end_wall_utc,end_wall_local,deploy_started_epoch,deploy_started_utc,deploy_started_local,deploy_finished_epoch,deploy_finished_utc,deploy_finished_local,repo_sync_s,manifest_apply_s,resource_creation_s,deployment_total_s,rollout_total_s,pod_rollout_s,status,note
16,v0.15.1,1760786374.927,2025-10-18T11:19:34.926Z,2025-10-18T11:19:34.926+00:00,,,,,,,,,,,,,,,,error(20),"time=""2025-10-18T11:19:35Z"" level=fatal msg=""rpc error: code = FailedPrecondition desc = another operation is already in progress"""
17,v0.15.2,1760786376.350,2025-10-18T11:19:36.350Z,2025-10-18T11:19:36.350+00:00,1760786397.375,2025-10-18T11:19:57.375Z,2025-10-18T11:19:57.375+00:00,1760786376.000,2025-10-18T11:19:36.000Z,2025-10-18T11:19:36.000+00:00,1760786379.000,2025-10-18T11:19:39.000Z,2025-10-18T11:19:39.000+00:00,6.017,0.191,15.067,3.000,21.025,18.025,ok,
18,v0.15.1,1760786398.719,2025-10-18T11:19:58.719Z,2025-10-18T11:19:58.719+00:00,1760786420.621,2025-10-18T11:20:20.620Z,2025-10-18T11:20:20.620+00:00,1760786398.000,2025-10-18T11:19:58.000Z,2025-10-18T11:19:58.000+00:00,1760786403.000,2025-10-18T11:20:03.000Z,2025-10-18T11:20:03.000+00:00,7.451,0.168,14.823,5.000,21.901,16.901,ok,
19,v0.15.2,1760786421.895,2025-10-18T11:20:21.895Z,2025-10-18T11:20:21.895+00:00,1760786443.444,2025-10-18T11:20:43.443Z,2025-10-18T11:20:43.443+00:00,1760786421.000,2025-10-18T11:20:21.000Z,2025-10-18T11:20:21.000+00:00,1760786424.000,2025-10-18T11:20:24.000Z,2025-10-18T11:20:24.000+00:00,5.466,0.164,16.648,3.000,21.549,18.549,ok,
20,v0.15.1,1760786444.726,2025-10-18T11:20:44.726Z,2025-10-18T11:20:44.726+00:00,1760786467.237,2025-10-18T11:21:07.237Z,2025-10-18T11:21:07.237+00:00,1760786444.000,2025-10-18T11:20:44.000Z,2025-10-18T11:20:44.000+00:00,1760786448.000,2025-10-18T11:20:48.000Z,2025-10-18T11:20:48.000+00:00,6.782,0.093,16.210,4.000,22.511,18.511,ok,
21,v0.15.2,1760786468.606,2025-10-18T11:21:08.606Z,2025-10-18T11:21:08.606+00:00,1760786489.332,2025-10-18T11:21:29.332Z,2025-10-18T11:21:29.332+00:00,1760786468.000,2025-10-18T11:21:08.000Z,2025-10-18T11:21:08.000+00:00,1760786471.000,2025-10-18T11:21:11.000Z,2025-10-18T11:21:11.000+00:00,4.777,0.164,16.249,3.000,20.726,17.726,ok,
22,v0.15.1,1760786490.811,2025-10-18T11:21:30.811Z,2025-10-18T11:21:30.811+00:00,1760786511.996,2025-10-18T11:21:51.995Z,2025-10-18T11:21:51.995+00:00,1760786491.000,2025-10-18T11:21:31.000Z,2025-10-18T11:21:31.000+00:00,1760786494.000,2025-10-18T11:21:34.000Z,2025-10-18T11:21:34.000+00:00,5.484,0.136,15.240,3.000,21.185,18.185,ok,
23,v0.15.2,1760786513.249,2025-10-18T11:21:53.249Z,2025-10-18T11:21:53.249+00:00,1760786534.438,2025-10-18T11:22:14.437Z,2025-10-18T11:22:14.437+00:00,1760786513.000,2025-10-18T11:21:53.000Z,2025-10-18T11:21:53.000+00:00,1760786516.000,2025-10-18T11:21:56.000Z,2025-10-18T11:21:56.000+00:00,4.772,0.132,16.416,3.000,21.188,18.188,ok,
24,v0.15.1,1760786535.678,2025-10-18T11:22:15.678Z,2025-10-18T11:22:15.678+00:00,1760786558.312,2025-10-18T11:22:38.312Z,2025-10-18T11:22:38.312+00:00,1760786535.000,2025-10-18T11:22:15.000Z,2025-10-18T11:22:15.000+00:00,1760786539.000,2025-10-18T11:22:19.000Z,2025-10-18T11:22:19.000+00:00,6.267,0.181,16.725,4.000,22.634,18.634,ok,
25,v0.15.2,1760786559.680,2025-10-18T11:22:39.679Z,2025-10-18T11:22:39.679+00:00,1760786581.356,2025-10-18T11:23:01.355Z,2025-10-18T11:23:01.355+00:00,1760786559.000,2025-10-18T11:22:39.000Z,2025-10-18T11:22:39.000+00:00,1760786562.000,2025-10-18T11:22:42.000Z,2025-10-18T11:22:42.000+00:00,5.422,0.114,16.676,3.000,21.676,18.676,ok,
26,v0.15.1,1760786582.652,2025-10-18T11:23:02.652Z,2025-10-18T11:23:02.652+00:00,1760786603.075,2025-10-18T11:23:23.074Z,2025-10-18T11:23:23.074+00:00,1760786582.000,2025-10-18T11:23:02.000Z,2025-10-18T11:23:02.000+00:00,1760786585.000,2025-10-18T11:23:05.000Z,2025-10-18T11:23:05.000+00:00,4.823,0.136,16.015,3.000,20.422,17.422,ok,
27,v0.15.2,1760786604.545,2025-10-18T11:23:24.545Z,2025-10-18T11:23:24.545+00:00,1760786625.832,2025-10-18T11:23:45.831Z,2025-10-18T11:23:45.831+00:00,1760786604.000,2025-10-18T11:23:24.000Z,2025-10-18T11:23:24.000+00:00,1760786607.000,2025-10-18T11:23:27.000Z,2025-10-18T11:23:27.000+00:00,5.095,0.114,16.492,3.000,21.286,18.286,ok,
28,v0.15.1,1760786627.192,2025-10-18T11:23:47.192Z,2025-10-18T11:23:47.192+00:00,1760786648.557,2025-10-18T11:24:08.557Z,2025-10-18T11:24:08.557+00:00,1760786627.000,2025-10-18T11:23:47.000Z,2025-10-18T11:23:47.000+00:00,1760786629.000,2025-10-18T11:23:49.000Z,2025-10-18T11:23:49.000+00:00,4.581,0.124,16.698,2.000,21.365,19.365,ok,
29,v0.15.2,1760786649.893,2025-10-18T11:24:09.892Z,2025-10-18T11:24:09.892+00:00,1760786671.379,2025-10-18T11:24:31.379Z,2025-10-18T11:24:31.379+00:00,1760786650.000,2025-10-18T11:24:10.000Z,2025-10-18T11:24:10.000+00:00,1760786652.000,2025-10-18T11:24:12.000Z,2025-10-18T11:24:12.000+00:00,4.558,0.135,16.587,2.000,21.486,19.486,ok,
30,v0.15.1,1760786672.690,2025-10-18T11:24:32.689Z,2025-10-18T11:24:32.689+00:00,1760786694.485,2025-10-18T11:24:54.485Z,2025-10-18T11:24:54.485+00:00,1760786672.000,2025-10-18T11:24:32.000Z,2025-10-18T11:24:32.000+00:00,1760786675.000,2025-10-18T11:24:35.000Z,2025-10-18T11:24:35.000+00:00,5.951,0.099,16.327,3.000,21.795,18.795,ok,
31,v0.15.2,1760786695.812,2025-10-18T11:24:55.811Z,2025-10-18T11:24:55.811+00:00,1760786720.383,2025-10-18T11:25:20.383Z,2025-10-18T11:25:20.383+00:00,1760786695.000,2025-10-18T11:24:55.000Z,2025-10-18T11:24:55.000+00:00,1760786698.000,2025-10-18T11:24:58.000Z,2025-10-18T11:24:58.000+00:00,6.673,0.186,18.405,3.000,24.572,21.572,ok,
32,v0.15.1,1760786721.886,2025-10-18T11:25:21.886Z,2025-10-18T11:25:21.886+00:00,1760786743.191,2025-10-18T11:25:43.191Z,2025-10-18T11:25:43.191+00:00,1760786722.000,2025-10-18T11:25:22.000Z,2025-10-18T11:25:22.000+00:00,1760786724.000,2025-10-18T11:25:24.000Z,2025-10-18T11:25:24.000+00:00,4.253,0.117,16.697,2.000,21.305,19.305,ok,
33,v0.15.2,1760786744.531,2025-10-18T11:25:44.530Z,2025-10-18T11:25:44.530+00:00,1760786766.307,2025-10-18T11:26:06.307Z,2025-10-18T11:26:06.307+00:00,1760786744.000,2025-10-18T11:25:44.000Z,2025-10-18T11:25:44.000+00:00,1760786749.000,2025-10-18T11:25:49.000Z,2025-10-18T11:25:49.000+00:00,6.868,0.184,15.149,5.000,21.776,16.776,ok,
34,v0.15.1,1760786767.688,2025-10-18T11:26:07.687Z,2025-10-18T11:26:07.687+00:00,1760786789.256,2025-10-18T11:26:29.255Z,2025-10-18T11:26:29.255+00:00,1760786767.000,2025-10-18T11:26:07.000Z,2025-10-18T11:26:07.000+00:00,1760786770.000,2025-10-18T11:26:10.000Z,2025-10-18T11:26:10.000+00:00,5.338,0.141,16.694,3.000,21.568,18.568,ok,
35,v0.15.2,1760786790.581,2025-10-18T11:26:30.580Z,2025-10-18T11:26:30.580+00:00,1760786812.220,2025-10-18T11:26:52.219Z,2025-10-18T11:26:52.219+00:00,1760786790.000,2025-10-18T11:26:30.000Z,2025-10-18T11:26:30.000+00:00,1760786794.000,2025-10-18T11:26:34.000Z,2025-10-18T11:26:34.000+00:00,5.326,0.155,16.626,4.000,21.639,17.639,ok,
36,v0.15.1,1760786813.671,2025-10-18T11:26:53.671Z,2025-10-18T11:26:53.671+00:00,1760786835.609,2025-10-18T11:27:15.609Z,2025-10-18T11:27:15.609+00:00,1760786813.000,2025-10-18T11:26:53.000Z,2025-10-18T11:26:53.000+00:00,1760786816.000,2025-10-18T11:26:56.000Z,2025-10-18T11:26:56.000+00:00,5.334,0.160,16.982,3.000,21.938,18.938,ok,
37,v0.15.2,1760786836.857,2025-10-18T11:27:16.857Z,2025-10-18T11:27:16.857+00:00,1760786857.549,2025-10-18T11:27:37.549Z,2025-10-18T11:27:37.549+00:00,1760786837.000,2025-10-18T11:27:17.000Z,2025-10-18T11:27:17.000+00:00,1760786840.000,2025-10-18T11:27:20.000Z,2025-10-18T11:27:20.000+00:00,5.074,0.100,15.223,3.000,20.692,17.692,ok,
38,v0.15.1,1760786858.817,2025-10-18T11:27:38.816Z,2025-10-18T11:27:38.816+00:00,1760786880.707,2025-10-18T11:28:00.706Z,2025-10-18T11:28:00.706+00:00,1760786859.000,2025-10-18T11:27:39.000Z,2025-10-18T11:27:39.000+00:00,1760786862.000,2025-10-18T11:27:42.000Z,2025-10-18T11:27:42.000+00:00,4.442,0.178,16.875,3.000,21.890,18.890,ok,
