iteration,target_revision,start_wall_epoch,start_wall_utc,start_wall_local,end_wall_epoch,end_wall_utc,end_wall_local,deploy_started_epoch,deploy_started_utc,deploy_started_local,deploy_finished_epoch,deploy_finished_utc,deploy_finished_local,repo_sync_s,manifest_apply_s,resource_creation_s,deployment_total_s,rollout_total_s,pod_rollout_s,status,note
15,v0.15.2,1760791664.713,2025-10-18T12:47:44.712Z,2025-10-18T12:47:44.712+00:00,1760791687.318,2025-10-18T12:48:07.318Z,2025-10-18T12:48:07.318+00:00,1760791664.000,2025-10-18T12:47:44.000Z,2025-10-18T12:47:44.000+00:00,1760791667.000,2025-10-18T12:47:47.000Z,2025-10-18T12:47:47.000+00:00,6.254,0.139,16.831,3.000,22.605,19.605,ok,
16,v0.15.1,1760791688.592,2025-10-18T12:48:08.592Z,2025-10-18T12:48:08.592+00:00,1760791709.789,2025-10-18T12:48:29.788Z,2025-10-18T12:48:29.788+00:00,1760791688.000,2025-10-18T12:48:08.000Z,2025-10-18T12:48:08.000+00:00,1760791691.000,2025-10-18T12:48:11.000Z,2025-10-18T12:48:11.000+00:00,5.256,0.111,16.227,3.000,21.197,18.197,ok,
17,v0.15.2,1760791711.163,2025-10-18T12:48:31.163Z,2025-10-18T12:48:31.163+00:00,1760791731.977,2025-10-18T12:48:51.977Z,2025-10-18T12:48:51.977+00:00,1760791711.000,2025-10-18T12:48:31.000Z,2025-10-18T12:48:31.000+00:00,1760791713.000,2025-10-18T12:48:33.000Z,2025-10-18T12:48:33.000+00:00,5.384,0.128,15.284,2.000,20.814,18.814,ok,
18,v0.15.1,1760791733.265,2025-10-18T12:48:53.265Z,2025-10-18T12:48:53.265+00:00,1760791753.484,2025-10-18T12:49:13.483Z,2025-10-18T12:49:13.483+00:00,1760791733.000,2025-10-18T12:48:53.000Z,2025-10-18T12:48:53.000+00:00,1760791736.000,2025-10-18T12:48:56.000Z,2025-10-18T12:48:56.000+00:00,4.705,0.116,15.514,3.000,20.219,17.219,ok,
19,v0.15.2,1760791754.879,2025-10-18T12:49:14.878Z,2025-10-18T12:49:14.878+00:00,1760791776.378,2025-10-18T12:49:36.377Z,2025-10-18T12:49:36.377+00:00,1760791755.000,2025-10-18T12:49:15.000Z,2025-10-18T12:49:15.000+00:00,1760791758.000,2025-10-18T12:49:18.000Z,2025-10-18T12:49:18.000+00:00,5.592,0.125,15.552,3.000,21.499,18.499,ok,
20,v0.15.1,1760791777.867,2025-10-18T12:49:37.867Z,2025-10-18T12:49:37.867+00:00,1760791799.137,2025-10-18T12:49:59.137Z,2025-10-18T12:49:59.137+00:00,1760791777.000,2025-10-18T12:49:37.000Z,2025-10-18T12:49:37.000+00:00,1760791780.000,2025-10-18T12:49:40.000Z,2025-10-18T12:49:40.000+00:00,5.442,0.101,16.430,3.000,21.270,18.270,ok,
21,v0.15.2,1760791800.470,2025-10-18T12:50:00.470Z,2025-10-18T12:50:00.470+00:00,1760791822.315,2025-10-18T12:50:22.315Z,2025-10-18T12:50:22.315+00:00,1760791800.000,2025-10-18T12:50:00.000Z,2025-10-18T12:50:00.000+00:00,1760791803.000,2025-10-18T12:50:03.000Z,2025-10-18T12:50:03.000+00:00,6.793,0.160,15.240,3.000,21.845,18.845,ok,
22,v0.15.1,1760791823.669,2025-10-18T12:50:23.668Z,2025-10-18T12:50:23.668+00:00,1760791844.714,2025-10-18T12:50:44.714Z,2025-10-18T12:50:44.714+00:00,1760791823.000,2025-10-18T12:50:23.000Z,2025-10-18T12:50:23.000+00:00,1760791826.000,2025-10-18T12:50:26.000Z,2025-10-18T12:50:26.000+00:00,5.146,0.192,16.204,3.000,21.045,18.045,ok,
23,v0.15.2,1760791846.011,2025-10-18T12:50:46.010Z,2025-10-18T12:50:46.010+00:00,1760791868.063,2025-10-18T12:51:08.062Z,2025-10-18T12:51:08.062+00:00,1760791846.000,2025-10-18T12:50:46.000Z,2025-10-18T12:50:46.000+00:00,1760791848.000,2025-10-18T12:50:48.000Z,2025-10-18T12:50:48.000+00:00,5.253,0.141,16.480,2.000,22.052,20.052,ok,
24,v0.15.1,1760791869.513,2025-10-18T12:51:09.512Z,2025-10-18T12:51:09.512+00:00,1760791889.841,2025-10-18T12:51:29.841Z,2025-10-18T12:51:29.841+00:00,1760791869.000,2025-10-18T12:51:09.000Z,2025-10-18T12:51:09.000+00:00,1760791872.000,2025-10-18T12:51:12.000Z,2025-10-18T12:51:12.000+00:00,5.227,0.155,15.311,3.000,20.328,17.328,ok,
